#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-01-12T04:05:11 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VOTx36781 
#INFO MaxTuples=50000 
#INFO queryParameters=9 
#-oc.form=D.
#-source=I/311/hip2
#-c=Canopus,rd=40,eq=J2000
#-out=RArad
#-out=DErad
#-out=pmRA
#-out=pmDE
#-out=Hpmag
#-out=B-V
#
#INFO -c=095.987958-52.695661,rd=40. 
#

#RESOURCE=yCat_1311
#Name: I/311
#Title: Hipparcos, the New Reduction (van Leeuwen, 2007)
#Coosys J2000_1991.250: eq_FK5 J2000    
#Table I_311_hip2:
#Name: I/311/hip2
#Title: The Astrometric Catalogue
#---Details of Columns:
    RArad (deg)   (F12.8) Right Ascension in ICRS, Ep=1991.25 [ucd=pos.eq.ra;meta.main]
    DErad (deg)   (F12.8) Declination in ICRS, Ep=1991.25 [ucd=pos.eq.dec;meta.main]
    pmRA (mas/yr) (F8.2)  Proper motion in Right Ascension [ucd=pos.pm;pos.eq.ra]
    pmDE (mas/yr) (F8.2)  Proper motion in Declination [ucd=pos.pm;pos.eq.dec]
    Hpmag (mag)   (F7.4)  Hipparcos magnitude [ucd=phot.mag;em.opt.V]
    B-V (mag)     (F6.3)  Colour index [ucd=phot.color;em.opt.B;em.opt.V]
------------ ------------ -------- -------- ------- ------
                          pmRA     pmDE     Hpma    B-V   
RArad (deg)  DErad (deg)  (mas/yr) (mas/yr) g (mag) (mag) 
------------ ------------ -------- -------- ------- ------
000.11104675 -79.06183132   163.54   -62.97  8.7854  0.778
001.00253320 -80.39506984    55.39   -18.26  7.9968  0.314
001.15561511 -81.34531888     1.05     0.76  9.1961  0.239
001.34229862 -79.25391271    23.95    66.32  7.8761  1.093
001.51738442 -84.09820804    20.14     1.37  8.6327  1.576
001.85792748 -77.49416578    -2.06    -9.80  8.5621  1.014
001.90323012 -86.03877647    22.17     7.39  7.3925 -0.018
001.99715417 -78.21097491    25.80    -6.74  7.9259  1.450
002.00147229 -78.59876124    -0.77     2.34  7.2310  0.156
002.19228886 -86.18850379     5.45     6.40 11.1117  1.500
002.48490442 -78.59054091    22.36   -24.35  8.9458  1.011
002.50945407 -82.22399741   -21.65   -20.34  5.4530  1.049
002.51334431 -77.48041228    17.83    -5.32  9.2501  1.031
002.51839637 -79.00183920    14.13    -3.33  7.9853  0.476
002.53330738 -78.30066024     8.36   -23.30  7.1179  1.377
002.78668671 -87.41423772    27.25     4.03  8.9812  0.585
002.90304347 -80.17376517    -9.85    13.37  7.3685  0.916
003.14030913 -88.36287523    14.48     2.80  7.2376  0.054
003.33145157 -84.99402084    10.82    17.70  5.8488  1.710
003.97890183 -75.91160950   -17.21    -1.94  6.6506  0.983
004.04683944 -79.85104066   433.92   -56.74  6.7233  0.749
004.20080417 -78.78009250    61.97   -25.10  6.8800  0.451
004.45528767 -79.23233721   -11.22   -21.41  8.0564  0.621
004.52345878 -83.06136369    26.50     6.13  9.8657  0.483
004.56913644 -75.66328425    21.20     5.59  8.5588  0.616
004.77211943 -77.98897694    41.60    11.98  7.8813  0.363
005.07095768 -77.22264894   -49.42    18.58  8.0058  0.552
005.17280028 -87.66706238   128.91    43.96  8.8606  0.627
005.21451931 -81.61207536    68.97     3.87  9.6996  0.546
005.36976184 -77.42685694    12.84    -7.30  6.1045  1.397
005.69099164 -79.31283732    21.77    -5.27  9.9069  0.422
005.71154887 -80.40974475   204.04   -16.08 10.9458  0.715
005.73090434 -82.68349992    39.08     4.44  9.5270  0.459
005.81060242 -76.00460499     4.58    -3.78  9.1521  1.520
005.81710583 -76.72427713    23.14    11.09  8.0982  0.475
006.05560054 -75.67920926     8.81   -83.93  8.4299  0.619
006.11086023 -78.25037341     5.15    -4.09  8.9496  0.708
006.35226055 -74.40420088    28.70     6.21  8.9363  1.080
006.41334187 -77.25503494  2219.54   324.09  2.9305  0.618
006.71210064 -83.13913308    45.54    -0.79  8.1374  0.515
006.73967191 -76.31520582    -0.86     0.93  9.0186  1.576
006.74449190 -75.78382792   -32.17   -78.59  9.6108  0.735
006.89524291 -75.61359610    14.07     3.04  8.4434  0.912
008.30016167 -78.66513997    20.56    -2.43  9.2596  1.376
008.81747088 -86.70523264    47.11     9.03  8.9013  0.411
008.94702016 -73.22202737    23.20    19.14  8.0059  0.896
008.96571809 -74.86979214    23.47    19.27  8.5085  0.824
009.20682038 -76.30957102    42.92    -3.66  6.8133  0.394
009.27537414 -79.08226889    16.91     0.85 10.1744  0.349
009.28648820 -85.25251489    57.35   -44.04  8.2302  1.236
009.33113900 -77.48616176   -16.97    -7.25  8.8440  0.473
009.34741730 -75.60684095     8.32    18.10  8.0507  0.188
009.49072755 -81.17743472   -29.41    -9.70  9.1327  0.488
009.57520039 -73.96249614  -126.74  -109.05  7.5450  0.482
009.65283656 -84.08731600    16.81    32.65  8.6430  0.347
009.66940405 -73.13763192   -22.18     5.49  6.9096  0.114
009.69034066 -85.41237064   -87.18   -28.38  7.8814  0.754
009.75161786 -72.28257536    21.48     5.11  8.5796  0.295
009.81381021 -83.03290784     5.28    -6.19  8.3988  0.163
009.90896028 -85.70084451   172.34   -11.69  6.9662  1.260
009.94852812 -80.65618660    68.95    21.27  8.0519  0.744
010.00271014 -73.76182148    24.96    -5.91  8.5985  0.447
010.33980194 -75.81282780    45.76     0.62  8.7211  0.468
010.36135877 -73.11292766   -61.17     2.16 10.1119  0.709
010.39955202 -74.17705903    -8.44   -11.24  9.1954  1.082
011.03146712 -74.26521972   104.81   -34.36  7.6867  0.509
011.08845454 -85.89152534    90.25    -3.14  8.4086  0.571
011.13020106 -71.16867661    46.28     7.71  8.2273  0.414
011.14728133 -78.08217280    14.17    -5.94  6.7808  1.079
011.27280395 -79.66394791   -13.83     2.21  8.9381  1.430
011.37461065 -89.16899196    62.21    -7.92  9.8006  0.720
011.38428890 -75.91851304    33.64     0.67  9.4950  0.478
011.53179738 -71.22947987   -96.93    -6.72 10.0019  0.787
011.59583202 -71.78242164    13.16     4.60  9.3654  1.328
011.61825581 -76.92172901   -38.56    -2.40  9.3361  0.455
011.62690963 -84.01173309    49.15  -302.78  8.6788  0.848
011.77060407 -72.82548348    -4.43    -8.47  9.8660  0.468
011.92491781 -82.50749502  -154.03  -154.04  9.3205  0.666
011.96146443 -78.26736086    -9.02  -110.74  9.2545  0.753
012.14632698 -74.92335367   132.89   -34.29  5.2343  1.345
012.28230982 -69.12664221    19.73   -12.42  8.2510  1.527
012.50325458 -84.93524152     9.58     9.92  8.8254  0.462
012.53815517 -83.74397177   139.07    30.46  8.0529  0.522
012.63158532 -73.47848349     0.54    -1.41 11.1706  0.117
012.65993873 -73.47173543     2.29     1.06 11.0148 -0.015
012.71847781 -71.15152649   -13.23    37.98  6.9589  0.447
012.85054045 -78.64368720   173.07  -133.73 10.0364  0.954
012.85248249 -72.38294090     2.47    -0.55 11.4935  0.069
013.00601234 -74.86998371    29.62   -37.17  8.8163  0.586
013.08645812 -68.16724908    19.72    -7.31  9.1460  1.018
013.10213597 -69.50359711     4.87   -70.79  6.8395  0.518
013.11818002 -69.50273608     8.65   -86.59  7.6213  0.676
013.21348050 -73.11489719     0.13    -1.33 10.9645  0.134
013.27035928 -72.63336892     0.73    -2.32 10.8063  0.045
013.28012990 -74.65161056   243.17    20.30  7.7424  0.678
013.42292595 -73.86940907     1.41     3.91  8.5712  0.556
013.42767970 -79.17178762     8.52     0.01  9.6358  1.230
013.53804954 -77.85833981     9.96    -6.67  9.2769  1.221
013.57208906 -69.08671073    19.85     5.11  8.7198  0.410
013.63993281 -82.66931990     5.47    -2.93  8.5050  1.600
013.74796242 -74.30263450   125.65   115.09  6.8421  0.987
013.75124752 -69.52697872     7.37   -43.69  5.6126  1.095
013.84247910 -68.62787884    19.36    -5.21  8.4494  0.583
013.91832579 -71.47515213    14.44     1.74 12.0708  0.206
013.95921395 -80.70889396    -8.55   -22.24  9.8439  0.570
014.13899131 -75.40658338    17.68    12.15  8.9261 -0.029
014.29824028 -67.49629792    22.88    13.67 10.1267  0.537
014.33937553 -76.55397985   -39.19    14.16  7.5526  1.086
014.46735823 -70.45846666    18.98    11.82  8.7849  1.483
014.48868686 -70.86921827   -26.83   -53.65  9.1332  0.461
014.49488880 -68.19313478    -8.92     3.48  8.4061  1.062
014.73132648 -76.58958228   164.76   -44.42 11.0941  0.678
014.84233135 -73.74886558   -25.48   -11.18  9.4524  0.539
014.89143604 -75.81460675   -18.58   -17.35  8.1830  0.609
014.92125776 -75.81378872   -18.06   -16.72  8.9799  0.592
014.98530578 -67.25203706    12.54   -14.47  8.8661  0.864
015.04204282 -70.17678916    -9.31    11.32  8.1256  0.444
015.07878592 -72.74328252    36.11     1.89 10.7373  0.730
