#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-04-22T10:03:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VOTx36145 
#INFO MaxTuples=50000 
#INFO queryParameters=8 
#-oc.form=D.
#-source=I/311/hip2
#-c=207.91670996081834 -59.84812460577989,rd=60.0,eq=J2000
#-out=DErad
#-out=pmRA
#-out=pmDE
#-out=Hpmag
#-out=B-V
#
#INFO -c=207.916710-59.848125,rd=60. 
#

#RESOURCE=yCat_1311
#Name: I/311
#Title: Hipparcos, the New Reduction (van Leeuwen, 2007)
#Coosys J2000_1991.250: eq_FK5 J2000    
#Table I_311_hip2:
#Name: I/311/hip2
#Title: The Astrometric Catalogue
#---Details of Columns:
    DErad (deg)   (F12.8) Declination in ICRS, Ep=1991.25 [ucd=pos.eq.dec;meta.main]
    pmRA (mas/yr) (F8.2)  Proper motion in Right Ascension [ucd=pos.pm;pos.eq.ra]
    pmDE (mas/yr) (F8.2)  Proper motion in Declination [ucd=pos.pm;pos.eq.dec]
    Hpmag (mag)   (F7.4)  Hipparcos magnitude [ucd=phot.mag;em.opt.V]
    B-V (mag)     (F6.3)  Colour index [ucd=phot.color;em.opt.B;em.opt.V]
------------ -------- -------- ------- ------
             pmRA     pmDE     Hpma    B-V   
DErad (deg)  (mas/yr) (mas/yr) g (mag) (mag) 
------------ -------- -------- ------- ------
-79.06183132   163.54   -62.97  8.7854  0.778
-72.20271049   -38.52    -1.77  9.7391  0.000
-77.02014072    20.72     9.52  8.6228  0.196
-66.68310342   162.84   -28.91  7.5159  0.551
-69.67580052   -40.21   -67.09  8.4078  0.863
-64.46582509     1.73    10.58  8.4336  0.386
-72.31824930   -15.82    11.70  8.6404  0.401
-68.37102957   -10.15   -39.34  8.4078  0.538
-70.12530742    13.50    15.14  8.6842  1.315
-62.92315771    -2.72    11.79  7.5117  0.160
-72.60590360    16.94     1.91  8.7178  1.093
-77.06529443   -57.30  -177.06  4.9354  1.254
-68.10481117   100.01   -34.48  9.1634  0.546
-69.26920716    15.39     4.52  8.6699 -0.052
-68.28020623   209.95  -229.66  9.3369  1.390
-67.63428119    20.86    -2.86  9.5725  0.967
-58.78139081    74.86    -3.07  9.6924  0.500
-60.69189460    -5.76    -3.30  7.9821  1.041
-64.47608069    -2.22    -5.77  9.1702  1.688
-65.82756637    22.88    24.95  9.1727  0.956
-63.60066148    -6.87    -0.46  8.5569  0.508
-71.27863481     5.90   -32.92  9.7543  0.657
-80.39506984    55.39   -18.26  7.9968  0.314
-59.31518060    21.97    -3.50  8.5857  0.037
-72.89722079    10.43   -41.64  7.4271  0.444
-76.34653418    15.46    17.44  9.0957  1.025
-76.87353697   176.75   -15.48  9.2227  0.639
-71.69499867    10.53    -1.91  8.8943  1.036
-81.34531888     1.05     0.76  9.1961  0.239
-70.40421664    84.47   -16.83  7.6262  1.072
-71.43685826    29.62   -12.76  5.5635 -0.100
-70.21220715    53.19   -97.45  8.2684  0.710
-70.49241595     0.05   -26.58  8.5093  0.461
-59.82810463    -1.62    -7.68  8.7954  0.889
-62.84527091    62.32    20.63  8.2620  0.593
-67.83122666  -117.52  -560.04  8.6045  1.076
-59.81448692    44.10    -7.29  8.9482  1.156
-79.25391271    23.95    66.32  7.8761  1.093
-61.22566463    82.07   -77.99  8.9574  0.666
-61.30989486     4.38     8.70  7.5228  0.993
-68.55128847   -62.01   -34.76 10.1214  0.646
-68.81162750   -36.99    12.43  9.1141  0.585
-84.09820804    20.14     1.37  8.6327  1.576
-64.24051476    34.68    16.78  8.0208  0.459
-65.83919647   195.75  -553.34 12.2166  1.550
-74.40111176    31.86     4.78  9.9841  0.526
-70.58944048     6.80     2.89  8.1454  1.631
-60.07079484    53.90   -16.36  9.3791  0.226
-76.73091583    78.04    -5.80  7.6537  0.419
-77.49416578    -2.06    -9.80  8.5621  1.014
-60.64172798    39.55   -38.35  8.5010  0.595
-86.03877647    22.17     7.39  7.3925 -0.018
-62.31507710     2.56    -7.32  7.5704  1.703
-66.89539337    13.84     2.51  8.8127  0.790
-65.93227465    29.70   -63.49  6.9943  1.158
-78.21097491    25.80    -6.74  7.9259  1.450
-78.59876124    -0.77     2.34  7.2310  0.156
-59.06308264    36.71     4.13  8.5324  1.113
-70.05583209     8.79     3.80  8.9069  1.227
-66.51414456    14.76   -24.70  9.3972  0.675
-74.23842594    -0.93   -12.30  7.5298  1.326
-86.18850379     5.45     6.40 11.1117  1.500
-66.75946508    -4.16     1.28  9.2675  1.113
-60.26452777    -2.98   -16.31  9.6573  0.473
-59.28059247   -58.44  -156.60  9.3395  0.811
